B1,B2,B3,B4,B5,Zone
0,0,0,0,-88,1
0,-83,0,-86,0,1
0,0,-84,-86,0,1
0,-84,-90,-88,0,1
-70,0,0,0,0,1
-69,0,0,0,0,1
0,0,0,0,-87,1
0,-74,-81,0,0,1
0,0,-83,0,0,1
0,0,0,0,-86,1
0,0,0,0,-89,1
0,0,-77,0,0,1
-66,0,0,0,0,1
0,0,0,0,-80,1
0,-73,-80,0,0,1
0,0,0,-84,0,1
-61,0,0,0,0,1
-80,0,0,0,0,1
0,0,0,0,-88,1
0,0,0,-81,0,1
-59,0,0,0,0,1
0,0,0,0,-87,1
0,0,0,-85,0,1
-72,0,0,0,0,1
0,0,0,0,-83,1
0,-76,-77,0,0,1
0,-80,0,0,0,1
-67,0,0,0,0,1
-66,0,0,0,0,1
0,0,0,0,-86,1
0,0,0,-88,0,1
0,-88,-80,-86,0,1
0,0,0,0,-82,1
0,0,-82,0,-87,1
0,-78,0,0,0,1
-59,0,0,0,0,1
0,-83,-81,0,0,1
0,-82,0,0,0,1
-61,0,0,0,0,1
0,0,0,0,-82,1
-69,0,0,0,0,1
0,0,0,0,-82,1
0,-75,0,-84,0,1
-79,0,0,0,0,1
-66,0,0,0,0,1
0,0,0,0,-76,1
0,-84,-89,0,0,1
0,-89,-80,0,0,1
-68,0,0,0,0,1
0,0,0,0,-83,1
0,-79,-77,-84,0,1
-60,0,0,0,0,1
0,0,0,0,-78,1
0,-79,0,-88,-80,1
0,-69,-77,0,0,1
0,0,0,0,-92,1
-66,0,0,0,0,1
0,0,0,0,-92,1
0,0,-89,0,0,1
-71,0,0,0,0,1
-64,0,0,0,0,1
0,-72,-86,-81,0,1
0,-81,0,0,0,1
-56,0,0,0,0,1
0,0,0,0,-89,1
0,0,0,0,-88,1
0,-77,-77,0,0,1
0,0,-91,0,0,1
0,0,0,0,-79,1
0,0,0,-90,0,1
0,0,0,0,-85,1
0,0,-89,0,0,1
-67,0,0,0,0,1
-60,0,0,0,0,1
-62,0,0,0,0,1
0,0,0,0,-79,1
0,0,0,-83,0,1
0,0,0,0,-87,1
0,0,-85,0,0,1
-68,0,0,0,0,1
0,0,0,0,-82,1
-62,0,0,0,0,1
-60,0,0,0,0,1
0,0,-80,0,0,1
0,0,0,-77,0,1
0,0,0,0,-77,1
0,0,0,-72,-75,1
0,-81,-83,0,0,1
0,0,-81,0,0,1
-65,0,0,0,0,1
-67,0,0,0,0,1
0,0,0,0,-84,1
0,-80,0,-82,-88,1
0,0,-87,-75,0,1
-62,0,0,0,0,1
-68,0,0,0,0,1
0,-79,0,0,-82,1
0,0,-78,0,0,1
0,0,0,-83,0,1
0,0,-84,0,0,1
-58,0,0,0,0,1
0,0,0,0,-74,1
0,-77,0,-73,0,1
0,-76,-78,-83,0,1
0,0,-73,0,0,1
-61,0,0,0,0,1
-62,0,0,0,0,1
0,0,0,-84,0,1
0,-80,-85,0,0,1
-76,0,0,0,0,1
0,0,0,0,-86,1
0,-76,0,-81,-77,1
0,-80,-86,-79,0,1
0,0,-76,0,0,1
0,-90,0,-77,-75,1
0,-68,0,-81,0,1
0,0,-76,0,0,1
-69,0,0,0,0,1
-59,0,0,0,0,1
0,0,0,0,-80,1
0,-81,0,0,0,1
0,-77,0,0,0,1
0,0,-72,0,0,1
0,-78,-76,0,0,1
0,0,-83,0,0,1
-58,0,0,0,0,1
-62,0,0,0,0,1
0,0,0,0,-85,1
0,-86,0,0,0,1
0,-82,-81,-77,0,1
0,0,-79,0,0,1
0,-86,-79,-78,0,1
0,0,-80,0,0,1
0,-85,0,0,0,1
0,0,0,-81,0,1
0,0,0,0,-79,1
-60,-69,0,0,0,1
-58,0,0,0,0,1
0,0,0,-83,0,1
0,0,0,0,-83,1
0,-81,-71,0,0,1
-60,0,0,0,0,1
-64,0,0,0,0,1
0,0,0,0,-81,1
0,0,0,-82,0,1
0,0,0,0,-79,1
0,-74,0,0,0,1
0,0,-86,0,0,1
-64,0,0,0,0,1
-60,0,0,0,0,1
0,0,0,0,-81,1
0,0,0,-72,-75,1
0,0,-87,0,0,1
0,0,0,-84,0,1
0,0,-83,0,0,1
