B1,B2,B3,B4,B5,Zone
0,0,0,0,-56,22
-87,0,0,0,0,22
0,0,0,0,-60,22
0,0,-81,-81,0,22
0,0,-84,0,0,22
0,0,0,0,-52,22
0,0,0,-69,0,22
0,0,0,0,-51,22
0,-82,0,0,0,22
-80,0,0,0,0,22
0,-71,0,0,0,22
0,-78,0,0,0,22
0,0,0,-67,0,22
0,0,-77,-65,0,22
0,0,0,0,-57,22
0,0,0,-73,0,22
0,-83,0,0,0,22
0,0,0,-70,0,22
0,0,-80,-72,0,22
0,0,0,0,-59,22
0,0,0,-68,0,22
0,0,-80,0,0,22
0,-79,0,0,0,22
0,0,0,-71,0,22
0,0,0,0,-48,22
-87,0,0,0,0,22
0,-75,0,0,0,22
0,0,-76,0,0,22
-81,0,0,0,0,22
0,-73,0,0,0,22
0,0,0,-71,0,22
0,0,0,0,-71,22
0,0,0,-68,0,22
0,0,0,0,-52,22
0,0,-71,-71,0,22
0,-82,0,0,0,22
0,0,0,0,-34,22
0,-86,0,0,0,22
0,0,0,-73,0,22
0,0,0,-78,0,22
0,0,0,0,-55,22
0,0,-79,0,0,22
0,0,0,0,-63,22
0,0,0,0,-57,22
0,0,0,-75,0,22
0,0,-79,0,0,22
0,0,0,0,-63,22
0,0,0,-70,0,22
0,-84,0,0,-61,22
-87,0,0,0,0,22
0,-80,0,0,0,22
0,0,-79,0,0,22
0,0,0,0,-59,22
0,-82,0,0,-56,22
-81,0,0,0,0,22
0,-78,0,0,0,22
-82,0,0,0,0,22
0,0,0,-70,0,22
0,0,-75,0,0,22
0,-88,0,0,-75,22
-84,0,-78,0,0,22
0,-85,0,0,0,22
-82,0,0,0,0,22
0,-78,0,0,0,22
0,0,0,-73,0,22
0,0,-83,0,0,22
0,0,0,0,-60,22
0,0,0,-67,0,22
0,0,0,0,-55,22
0,0,0,0,-74,22
-92,0,0,0,0,22
0,0,0,-84,0,22
0,0,0,0,-58,22
0,0,-88,-58,0,22
0,-87,0,0,-33,22
0,0,0,-75,0,22
0,0,-87,-87,0,22
0,0,0,0,-68,22
-89,0,-88,0,0,22
0,0,0,0,-70,22
0,0,0,-71,0,22
0,0,0,-77,0,22
0,0,0,0,-58,22
0,0,0,-78,0,22
0,0,0,0,-57,22
0,0,0,-71,0,22
0,0,0,-71,0,22
0,-73,0,0,0,22
0,0,-82,-46,0,22
0,-79,0,0,0,22
0,-74,0,0,-57,22
0,0,0,0,-55,22
0,0,0,-69,0,22
0,-71,0,0,0,22
0,0,0,0,-73,22
-82,0,0,0,0,22
0,-81,0,0,0,22
-79,0,0,0,0,22
0,0,0,0,-52,22
0,-80,0,0,0,22
0,0,-81,-80,0,22
0,0,0,0,-55,22
0,0,0,0,-64,22
0,0,0,0,-61,22
-87,0,0,0,0,22
0,0,0,-70,0,22
0,-77,0,0,0,22
0,0,-80,0,0,22
0,0,0,0,-60,22
-78,0,0,0,0,22
0,-80,0,0,0,22
0,0,0,0,-56,22
0,0,0,-70,0,22
0,-86,0,0,0,22
0,-84,0,0,-63,22
0,0,-88,0,0,22
0,0,0,0,-64,22
0,0,-91,0,0,22
0,0,0,-84,0,22
0,-78,0,0,0,22
0,0,0,-71,0,22
0,-90,0,0,-70,22
0,-79,0,0,-60,22
0,0,-78,0,0,22
0,0,0,-83,0,22
0,-87,0,0,0,22
0,-94,0,0,0,22
0,0,-83,0,0,22
0,0,0,0,-67,22
0,0,0,-70,0,22
0,-73,0,0,0,22
0,0,0,0,-60,22
-77,0,0,0,0,22
0,0,0,0,-55,22
0,0,0,-73,0,22
0,0,0,0,-61,22
-84,0,-86,0,0,22
0,0,0,0,-70,22
0,0,-89,0,0,22
0,0,0,-82,0,22
0,0,0,-81,0,22
0,-80,0,0,0,22
0,0,0,-79,-69,22
0,-82,0,0,-61,22
0,0,-85,0,0,22
0,0,0,0,-77,22
0,0,-85,0,0,22
0,0,0,-69,0,22
0,0,0,0,-60,22
-88,0,0,0,0,22
0,0,0,0,-51,22
0,0,0,0,-55,22
0,0,0,-72,0,22
0,0,0,-71,0,22
0,-79,0,0,0,22
-85,0,0,0,0,22
0,-82,0,0,-62,22
-84,0,-78,0,0,22
0,0,0,0,-55,22
0,0,0,-80,0,22
0,-94,0,0,0,22
0,0,0,0,-62,22
0,-80,0,0,0,22
