B1,B2,B3,B4,B5,Zone
0,0,0,-80,-72,23
0,-91,0,0,0,23
-90,0,0,-80,0,23
0,0,-84,0,0,23
0,0,0,0,-61,23
0,0,-81,0,0,23
0,0,0,0,-71,23
0,0,-79,0,0,23
0,0,0,0,-58,23
0,0,-83,0,0,23
0,0,0,0,-65,23
0,0,-84,0,0,23
0,0,0,-78,-64,23
0,-94,0,0,0,23
-85,0,0,0,0,23
0,-80,0,0,0,23
0,0,-84,0,0,23
-78,0,0,0,0,23
0,0,0,0,-54,23
0,0,-81,0,0,23
-86,0,0,0,0,23
0,0,0,-80,-68,23
0,0,0,-81,0,23
0,-82,0,0,0,23
0,-80,0,0,0,23
-78,0,0,0,0,23
0,0,0,0,-62,23
0,0,-85,0,0,23
0,0,0,-74,-28,23
0,0,-82,0,0,23
0,0,0,-73,0,23
0,-83,0,0,0,23
0,-78,0,0,0,23
-85,0,0,0,0,23
0,-82,0,0,0,23
0,0,-86,0,0,23
0,-83,0,0,0,23
0,-87,0,0,0,23
0,0,-78,0,0,23
0,0,-78,0,0,23
0,0,0,-74,0,23
0,0,0,-76,0,23
0,-80,0,0,0,23
0,-75,0,0,0,23
0,0,0,0,-74,23
0,0,-82,0,0,23
0,0,0,-68,-57,23
0,0,0,-77,-55,23
0,-83,0,0,0,23
0,-86,0,0,0,23
0,0,-84,0,0,23
0,0,-88,0,0,23
0,0,0,-75,-58,23
0,0,0,0,-59,23
0,0,0,0,-66,23
0,0,-80,0,0,23
0,0,0,-70,0,23
0,0,-86,0,0,23
0,0,0,-81,-57,23
-80,0,0,0,0,23
0,0,0,-71,0,23
0,0,-76,0,0,23
0,0,0,-70,-53,23
0,0,0,-82,-77,23
0,0,0,0,-63,23
0,0,-89,0,0,23
0,0,0,-82,0,23
0,0,0,-72,-60,23
0,0,0,-73,-58,23
0,0,-82,0,0,23
0,0,0,0,-67,23
0,0,0,-85,-39,23
0,0,0,-80,0,23
0,-80,0,0,0,23
-80,0,0,0,0,23
0,0,-84,0,0,23
0,-88,0,0,0,23
0,0,-80,0,0,23
0,0,0,-79,0,23
0,0,0,-78,-77,23
0,0,0,0,-60,23
0,0,0,0,-38,23
0,-82,0,0,0,23
0,-81,0,0,0,23
0,0,0,-75,0,23
0,0,0,-77,0,23
0,0,0,-78,-60,23
0,0,0,0,-61,23
0,-76,0,0,0,23
0,-81,0,0,0,23
